2009103928	0	0	0
2009104065	90	10	10
2012105552	20	0	0
2013103861	70	40	0
2013103864	20	0	0
2013103888	0	0	0
2013103966	40	0	0
2013103970	70	40	0
2013103977	40	0	0
2013103978	60	50	0
2013104023	60	60	10
2014102861	40	30	10
2014103231	90	70	10
2014103244	60	20	20
2014103904	0	0	0
2014103920	0	30	0
2014103944	20	0	0
2014103962	40	50	0
2014103973	30	0	0
2014103982	30	10	0
2014104029	20	0	0
2014104047	40	30	0
2014104058	40	60	20
2014104073	70	30	0
2014110450	0	0	0
2015101975	40	30	0
2015101993	20	0	0
2015103214	100	50	90
2015104007	60	50	30
2015104016	100	60	0
2015104028	90	70	30
2015104068	70	10	0
2015104121	90	40	0
2015104137	20	70	10
2015104145	100	80	70
2015104158	70	50	20
2015104163	0	50	0
2015104191	40	50	0
2015104198	60	40	20
2015104203	50	40	20
2016100780	40	30	0
2016103162	100	50	0
2016103979	20	0	0
2016103982	70	30	0
2016104144	20	0	0
2016104162	100	60	30
2016105955	0	20	0
2017103019	0	30	0
2017103730	60	0	0
2017103762	20	30	0
2017103802	40	60	20
2017103804	50	40	0
2017103821	10	30	0
2017103871	40	30	10
2017103920	70	20	0
2017103974	0	0	0
2017103988	20	0	20
2017104024	0	40	0
2018102158	100	40	0
2018102161	60	60	0
2018102162	60	60	30
2018102169	40	60	0
2018102172	50	40	20
2018102173	40	0	0
2018102174	80	70	40
2018102179	80	40	20
2018102183	20	0	0
2018102193	90	80	80
2018102195	0	0	0
2018102198	100	80	100
2018102204	100	70	30
2018102209	100	60	100
2018102214	40	70	30
2018102216	30	30	40
2018102226	90	40	0
2018102235	50	0	10
2018102241	100	100	100
2018102244	80	60	40
2018102247	40	30	0
2018102249	60	80	30
2018102250	100	90	40
2018102252	80	0	0
